##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, 'ｧ' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
DPERSONALITY_UNDISTINGUISHED_SUIT;「平凡な政治家」はまったく存在感のない大臣です。誰もこの人物の名前を知りませんし、もちろん顔を思い出すこともできません。人々の記憶に残るような特徴が皆無なのです。;The Undistinguished Suit is an invisible minister. No one has ever heard of him and no one can remember his looks. He is famous for absolutely nothing.;;;;;;;;;X
DPERSONALITY_AIR_SUPERIORITY_PROPONENT;「制空権重視」の人物は実務能力に優れた政治家ですが、それだけに留まらず、軍の戦略にもしばしば口を挟みます。この人物は、勝つために最も重要なのは航空優勢を確保することであると信じています。;The Air Superiority Proponent is not only an able administrator and politician, but he also is meddling in the area of Grand Strategy. He believes that control of the air is now most important aspect of war.;;;;;;;;;X
DPERSONALITY_CORRUPT_KLEPTOCRAT;「泥棒政治家」は行政能力があるものの、救いようがないほど堕落しているため、軍事支援や物資が恒常的にこの人物とその側近の懐に納まってしまいます。;The Corrupt Kleptocrat is a competent administrator, but he is thoroughly corrupt so military aid and military supplies regularly end up in the pockets of the minister and his cronies.;;;;;;;;;X
DPERSONALITY_CROOKED_KLEPTOCRAT;「ならず者政治家」は社会全体で犯罪が横行しようと気にも留めず、暴動が発生しても頓着しません。しかし他の政治家は、私腹を肥やしたいがために彼に従います。;The Crooked Kleptocrat ignores the crimes of the high and low and cares little about insurrections but other ministers are loyal towards him because of their chances for self-enrichment.;;;;;;;;;X
DPERSONALITY_POWER_HUNGRY_DEMAGOGUE;「権力に餓えた扇動家」は執念深く、怒りと憎しみに満ちた人物ですが、不満を抱えた大衆を虜にする悪魔的なカリスマ性を持っています。この人物の真の目的は、全世界を自分の望むように作り変えることです。;The Power-Hungry Demagogue is an angry vengeful man full of hatred. However he possesses a demonic charisma that enchants the frustrated masses. He has but one real purpose and that is to control and shape the world into one of his liking.;;;;;;;;;X
DPERSONALITY_BARKING_BUFFOON;「口先だけの道化者」は政治という舞台で演技する器用な役者です。人々は彼が強く有能な指導者であると信じ、母国にかつての栄光を取り戻させてくれることを期待します。しかしその華麗な弁舌の影には、虚栄心が強いだけの小心な愚か者が隠れています。彼の身近にいる者は、その無能さを良く知っています。;The Barking Buffoon is a great political dramatic actor. People see him as a strong and competent leader who will save the nation and restore it to its historical greatness. But behind his mask of bombastic rhetoric hides a weak-minded, vain simpleton. Those who really know him, know he is an incompetent man.;;;;;;;;;X
DPERSONALITY_STERN_IMPERIALIST;「厳格な帝国主義者」はナショナリズムの権化です。この人物は人々をひきつける魅力も、優れた行政手腕も持ち合わせていませんが、自国の地位を向上させようという恐ろしいまでの意志を抱いています。この目的を達成するためには政治的、軍事的なあらゆる手段を躊躇せず使います。;The Stern Imperialist is a staunch nationalist. He is neither charming nor an administrative genius. However he has one big asset, namely his fanatical determination to improve his nation's status. He will use any means to achieve that goal, be it political or military.;;;;;;;;;X
DPERSONALITY_RUTHLESS_POWERMONGER;「権力の亡者」は国家と国民を自分の所有物と考えています。良心のかけらも持たず、目的を達成するためには手段を選びません。この人物には、人々の不安をあおり、敵味方両方を危機に陥れる能力があります。;The Ruthless Powermonger treats his country and his people as personal possessions. He is completely unscrupulous and he will let nothing stand between him and his goals. Sometimes he can develop a streak of paranoia which will endanger friend and foe alike.;;;;;;;;;X
DPERSONALITY_AUTOCRATIC_CHARMER;「ワンマン政治家」はそのカリスマ性と非情さで今の地位を保っています。この人物は交渉の達人であり、敵味方両方の心を巧みに操ります。しかし日常的な政務は得意でなく、彼の下では腐敗が横行します。;The Autocratic Charmer uses his charisma and ruthlessness to stay in power. He charms friend and foe alike and is an excellent negotiator. However, day-to-day governing is not his style and corruption flourishes under his rule.;;;;;;;;;X
DPERSONALITY_RESIGNED_GENERALISSIMO;「引退した大元帥」は母国を荒廃と混乱から救うために政界に足を踏み入れました。彼は政治的駆け引きにはうんざりしており、かつて軍を率いていたのと同じやり方で国政を運営しようとします。しかし有能で決断力のある人物であることに変わりはありません。;The Resigned Generalissimo came to power to save his country from the ruin of anarchy and popular sentiment. He is tired of political bickering and tries to run the country as he used to command his regiment. Still, he is a competent and decisive man.;;;;;;;;;X
DPERSONALITY_BENEVOLENT_GENTLEMAN;「高潔な紳士」にはカリスマ性があり、選挙では数多くの支持を得て当選しますが、一国の長としての決断力には欠けています。国家の危機が訪れても、微笑みながら対処案が出てくるのを待つ以外に何もできません。;The Benevolent Gentleman is charismatic and a master at winning elections. However, he lacks the character to be truly successful at the nation's helm. When things get rough, he merely smiles and waits out the winds of political opinion.;;;;;;;;;X
DPERSONALITY_WEARY_STIFF_NECK;「臆病な頑固者」は誤って政治の世界に足を踏み入れてしまった人物で、そのことを貴族的な物腰と傲慢な態度でごまかそうとしています。政策に関しては優柔不断で、常に自分の無能さが暴かれはしないかとびくびくしています。;The Weary Stiff-Neck is not the right man for this job. He tries to compensate for this with an aristocratic manner and stiff-necked acting. When it comes to politics he is weary and indecisive, always fearing that his lack of talent will show through his facade.;;;;;;;;;X
DPERSONALITY_INSIGNIFICANT_LAYMAN;「無能な凡人」には政治的な野心も目的もありません。彼がその地位を追われないのは、彼が無害な人物であり、これといった代わりもいないからに過ぎません。;The Insignificant Layman lacks any kind of ambition or political interest. The only reason people do not move against him is that he is fairly harmless and there is no better replacement.;;;;;;;;;X
DPERSONALITY_DIE_HARD_REFORMER;「不屈の改革者」は自らが信じる政治理念と社会体制を全世界に広めたいと考えています。そのためには政治的、軍事的な介入を行うこともいといません。;The Die-Hard Reformer wants to promote his political values and preferred system of government to other countries. He is willing to intervene politically and military to achieve his goals.;;;;;;;;;X
DPERSONALITY_PIG_HEADED_ISOLATIONIST;「強硬な孤立主義者」は自国を戦争や錯綜する国際政治に巻き込ませないと心に誓っています。他国との協力関係を支持するにしろ、反対するにしろ、常に目指しているのは誰にも干渉されない自立国家の実現です。;The Pig-Headed Isolationist is determined to keep his country out of war, and the mess of international politics. He might like or dislike international cooperation, but it is always national autonomy that is his goal.;;;;;;;;;X
DPERSONALITY_POPULAR_FIGUREHEAD;「形のみの指導者」は自国の特殊な政治形態ゆえに実質的な権力を持っていません。しかし国民には人気があるため、この人物が力説することについては、実際にこの国を動かしている実力者も考慮しなければなりません。;The Popular Figurehead has little power due to the system of government in his country. But due to his popularity, any firm statement of his will have to be taken into consideration by those who have power in the country.;;;;;;;;;X
DPERSONALITY_SILENT_WORKHORSE;「寡黙な勤勉家」にはカリスマ性はありませんが、それを日々の努力と持ち前の能力で補っています。その地位を誇ることはほとんどなく、国家元首を陰で支える「縁の下の力持ち」に徹しています。;The Silent Workhorse compensates for his lack of charisma with hard work and competence. He rarely takes pride of place, instead letting the Head of State shine in the sun while he gets the job done.;;;;;;;;;X
DPERSONALITY_NAIVE_OPTIMIST;「ナイーブな楽天家」は実務能力に優れた政治家です。しかし状況を楽観しがちなため、目の前にある落とし穴に気づかない場合があります。;The Naive Optimist is a competent administrator and politician. However, he often succumbs to  wishful thinking and fails to grasp the traps which have been laid for him.;;;;;;;;;X
DPERSONALITY_FLAMBOYANT_TOUGH_GUY;「派手好きなタフガイ」は生まれながらのリーダーであり、真の闘士です。戦争は必ずしも彼の望むところではありませんが、必要とあらばたとえ負け戦でも徹底的に戦います。注目を浴びるのが好きなこの人物は数々の独創的な政策を打ち出し、仮にそれが欠陥だらけであっても、強引に推し進めます。;The Flamboyant Tough Guy is a natural leader and a real fighter. He will try to avoid conflict but, if forced to, he will fight to the bitter end. His showmanship generates many creative ideas which he will defend with the stubbornness of a mule, whether they are good or bad.;;;;;;;;;X
DPERSONALITY_HAPPY_AMATEUR;「幸運な素人」が現在の地位に就けたのは偶然の賜物であり、政治に関する知識は少しも持ち合わせていません。しかし職務の重大さに呆然としている彼の薄ら笑いは、人々の目にはむしろ自信の表れのように映ります。彼にとっては幸運なことに、人々は彼の途方もない無能さにまったく気づいていません。;The Happy Amateur got his position by pure chance and knows nothing of politics or government. However overwhelmed by the surprise of being in office, his ever-smiling face gives him an aura of confidence. Luckily for him, the people are unaware of his staggering incompetence.;;;;;;;;;X
DPERSONALITY_BACKROOM_BACKSTABBER;「裏工作の達人」は政党内の調整役を長年務めてきたベテラン政治家です。内部の者による策謀も、国外からの圧力もこの人物を駆逐することはできません。彼に相対する他国の政治家は十分な注意が必要でしょう。;The Backroom Backstabber is a political veteran with years of experience as a party whip and senior party member. No intrigue will oust him and no foreign government can topple him. Foreign governments have to be very cautious around him though.;;;;;;;;;X
DPERSONALITY_SMILING_OILMAN;「にこやかな石油王」は大きな石油会社の社長として一代で財を成した人物です。経験豊富さを買われて現在の地位に就いたということになっていますが、一部には金の力であると言う者もいます。この人物には政治の知識はなく、国際関係に関してはまったくの素人ですが、神経が太く、頭の回転が速く、なんでもすぐに吸収できるのが救いです。;The Smiling Oilman is a self-made man and a former CEO of a large Oil Company. His experience, and some say his money, have brought him into office. However, he lacks political skill and is a novice in the international arena. At least he is thick-skinned, competent and a fast learner.;;;;;;;;;X
DPERSONALITY_OLD_GENERAL;「元陸軍大将」が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である陸軍の充実に力を注ぎます。;The Old General was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Army.;;;;;;;;;X
DPERSONALITY_OLD_ADMIRAL;「元海軍大将」が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である海軍の充実に力を注ぎます。;The Old Admiral was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Navy.;;;;;;;;;X
DPERSONALITY_OLD_AIR_MARSHAL;「元空軍大将」が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である空軍の充実に力を注ぎます。;The Air Marshal was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Air Force.;;;;;;;;;X
DPERSONALITY_POLITICAL_PROTEGE;「権力者の腰ぎんちゃく」とは権力者の子分、つまり元首の信頼が厚い人物です。この人物はそれほど人気があるわけでも、有能なわけでもありません。彼が現在の地位を得たのは、忠実でしかも多くのコネを持っていたからです。;The Political Protege is a political crony, a confidant of the Head of State. He is neither very liked nor very competent. He was chosen because he was loyal and had a large net of contacts.;;;;;;;;;X
DPERSONALITY_AMBITIOUS_UNION_BOSS;「野心に燃える元労働組合代表」は強引な性格の人物で、世の中を変えるために政治の世界に身を投じました。今でも労働者の味方であることに変わりはありませんが、新しい環境の影響でかつての過激さは影を潜めています。交渉の場では手強い相手となりますが、実務能力は高くありません。また、ときにはその経歴が足かせとなることもあります。;The Ambitious Union Boss is a harsh man who turned to politics to get the power to change things. He is still a man of the working class but his new environment has curbed his radicalism. He is a tough negotiator but lacks administrative skill. His background is also a liability in some circumstances.;;;;;;;;;X
DPERSONALITY_CORPORATE_SUIT;「元ビジネスマン」は人生のほとんどを政治と関わりのない企業社会で過ごしてきました。無任所大臣として政界に入りましたが、有能さと協調性によってトップの座にまでのぼり詰めました。政治の世界で彼は巨大な人脈を作り上げましたが、それでも基本的に門外漢であることに変わりはありません。;The Corporate Suit has spent his life in the business world, far away from politics. He was originally brought in as an independent minister, but due his competence and cooperation skills he has reached the top. He has formed a large network of contacts, but he is out of place in politics.;;;;;;;;;X
DPERSONALITY_OIL_BARON;「石油王」は石油産業で影響力のある人物です。彼には、多くの産業と企業との関係を持つか、支配下しています。そして、石油の産出と精製ビジネスで肯定的な影響を持っています。;The Oil Baron is a powerful person in the oil industry. He controls or has connections with many industries and companies and he has a positive influence in the oil extraction and refining business.;;;;;;;;;X
DPERSONALITY_STEEL_MAGNATE;「鉄鋼王」は製鋼産業で有力な地位を占める鉄鋼市場の重要人物です。彼に地位を与えると産業の生産性を高めて、自国の鉄鋼製品の生産と販売を上げることができます。;The Steel Magnate has a prominent place in the steel making industry and is a key person in the steel markets. He can use his position to increase the productivity of his industries and boost the production and sale of metal products in his country.;;;;;;;;;X
DPERSONALITY_INDUSTRIAL_CHEMIST;「工業化学者」には、化学産業という重要な役割があります。彼は、新しい物質、過程、および製品を開発して、科学知識を増加させることに知識を使用します。;The Industrial Chemist has a important position the chemical industry. He uses his knowledge to develop new substances, processes and products and to increase scientific knowledge.;;;;;;;;;X
DPERSONALITY_MEDIA_MAGNATE;「メディア王」はメディア事業に優位な地位を持つ人物です。彼は、通常、複数の新聞やラジオ放送網を所有して、世論に影響を及ぼすために使用します。;The Media Magnate is a person with a dominant position in a media enterprise. He usually owns one or more newspapers or radio networks and can use them to influence the public opinion.;;;;;;;;;X
DPERSONALITY_FOCH;「フェルディナン・フォッシュ」（1851年10月2日 - 1929年3月20日）は、フランス軍人で軍事理論家でした。彼の考える軍事ドクトリンは固い信念によって形成され、当時としては珍しく勝利をもたらすために征服の意志を持っていました。彼は圧倒的な軍事力に対して防御を成功させ、その後の反撃ではしばしば成功を収めました。;Ferdinand Foch was a French soldier and military theorist. His thinking on military doctrine was shaped by the unshakeable belief, uncommon at the time, that the will to conquer is the first condition of victory. He was able to defend against overwhelming forces and his subsequent counterattacks were often successful.;;;;;;;;;X
DPERSONALITY_HINDENBURG;「パウル・フォン・ヒンデンブルク」（1847年10月2日 - 1934年8月2日）は、プロイセンおよびドイツの軍人であり、ドイツ帝国元帥でした。ヒンデンブルクの軍事的能力は平凡でありましたが、一連の大勝利を彼にもたらした有能な参謀チームを持っていました。これらの勝利はヒンデンブルクをドイツで最も人気がある人物に変えました。戦争の間、ドイツ全土にヒンデンブルクの彫像が作られ、彼の名で資金を集めるための戦時公債が発行されました。;Paul von Hindenburg was a Prussian/German field marshal. Though Hindenburg was only average in terms of military ability, he had a team of talented and able subordinates who won him a series of great victories. These victories transformed Hindenburg into Germany's most popular man. During the war, there were wooden statues of Hindenburg built all over Germany, onto which people nailed money and cheques for war bonds.;;;;;;;;;X
DPERSONALITY_CADORNA;「ルーイジ・カドルナ」（1850年9月4日 - 1928年12月21日）は、第一次世界大戦の最初期に最も有名になったイタリア王国の参謀本部長で陸軍元帥でした。後世の歴史家は、兵士に対して冷徹で政府の意見や状態を考慮しないカドルナを「規律家」と評しました。戦争の間、彼は、217人の将校を更迭して、少なくとも750人の兵士を処刑しました。最後まで、彼は、敗北の責任を認めることを断固として拒否しました。;Luigi Cadorna was an Italian Field Marshal, most famous for being the chief of staff of the Italian army during the first part of World War I. Historians describe Cadorna as a martinet, ruthless with his troops and dismissive of his country's political authorities. During the course of war he fired 217 officers and executed at least 750 soldiers. Until the end he stubbornly refused to admit responsibility for his defeats.;;;;;;;;;X
DPERSONALITY_BRUSILOV;「アレクセイ・アレクセーヴィッチ・ブルシーロフ」（1853年8月19日 - 1926年3月17日）は、ロシア帝国陸軍によって使用された新しい攻勢戦術の開発で最も有名なロシア帝国陸軍の将軍です。ブルシーロフは、少数の特殊部隊に敵の塹壕線の弱点に対して攻撃させ、後続の軍のための突破口を開かせるというものでした。;Aleksei Alekseevich Brusilov was a Russian general most noted for the development of new offensive tactics used by the Imperial Russian Army. Brusilov used smaller specialized units of soldiers to attack weak points in the enemy trench lines and blow open holes for the rest of the Army to advance into.;;;;;;;;;X
DPERSONALITY_WILHELM_II;「ヴィルヘルム2世」（1859年1月27日 - 1941年6月4日）は、フリードリヒ・ヴィルヘルム・ヴィクトル・アルベルト・フォン・プロイセンとして、1859年1月27日に誕生しました。プロイセン王国国王・ドイツ帝国皇帝として1888年6月15日に即位しました。治世における内政面では、労働環境を改善する様々な法を支持し、女性と子供を保護して、労働者保護につとめしました。外交政策では帝国主義的な膨張政策を展開して、欧州列強との対立を招きました。軍事政策では大規模な建艦計画を開始し、艦隊増強の指針を定めましたが、しばしば軍部の方針決定に干渉しました。;Wilhelm II, born Frederick William Victor Albert of Prussia, was crowned German Emperor and King of Prussia on 15 June 1888. During his reign, he supported various laws which improved working conditions, protected women and children and regulated labor relations. In Foreign policy, he undertook various spectacular acts in the international sphere that led to frictions with many European countries. In the military sphere, he decided to pursue a policy of massive naval construction, but he let his generals influence him and dictate his policy.;;;;;;;;;X
DPERSONALITY_NICHOLAS_II;「ニコライ2世」（1868年5月18日 - 1918年7月17日）は1896年5月26日に全ロシア皇帝に即位しました。治世では日露戦争の敗戦、政府に対する革命の動きを粉砕するため、反ユダヤ主義を推進しました。;Nicholas II was crowned Emperor and Autocrat of All the Russias on 26 May 1896. Under his rule, Russia was defeated in the Russo-Japanese War, anti-semitic pogroms were encouraged and rebellions against the government crippled the country.;;;;;;;;;X
DPERSONALITY_CLEMENCEAU;「ジョルジュ・クレマンソー」（1841年9月28日 - 1929年11月24日）は、フランスの政治家・医師・ジャーナリストであり、フランスの首相になった人物でした。戦時指導者としての決断にちなんで、ラ・ティグレ（虎）という愛称で呼ばれています。;Georges Benjamin Clemenceau was a French statesman, physician, journalist who became Prime Minister of France. He is commonly nicknamed Le Tigre (The Tiger) for his determination as a wartime leader.;;;;;;;;;X
DPERSONALITY_FRANZ_JOSEPH_I;「フランツ・ヨーゼフ1世」（1830年8月18日 - 1916年11月21日）は、1848年12月2日からオーストリア皇帝・ハンガリー国王・ボヘミア国王・クロアチア国王の地位にありました。治世においてはプロイセンの台頭、イタリア統一、および1867年のオーストリア・ハンガリー二重帝国成立といったオーストリアの国内外政策における数々の失策に直面していました。軍事的な敗北にもかかわらず、フランツ・ヨーゼフ1世の威厳は保たれ、その象徴的権威により帝国の結合を維持しました。;Franz Joseph I was Emperor of Austria, King of Bohemia, King of Croatia and Apostolic King of Hungary since 2 December 1848. Durign his reign, he faced several failures of Austrian external and internal policy like the rise of power of Prussia, the unification of Italy and the Austro-Hungarian Compromise of 1867. Despite the military failures, Franz Joseph remained immensely respected and his patriarchal authority held the Empire together.;;;;;;;;;X
DPERSONALITY_WILSON;「トーマス・ウッドロー・ウィルソン」（1856年12月28日 - 1924年2月3日）は第28代合衆国大統領でした。外交政策では、あからさまに紛争での中立的立場と回避の推進を行いました。彼は戦争遂行を軍の手にゆだね、外交および財政問題に焦点を合わせました。その結果、国際外交を変革しました。;Thomas Woodrow Wilson was the 28th President of the United States. In foreign policy, he campaigned for neutrality and avoidance of open conflicts. He focused on diplomacy and financial considerations, leaving the waging of the war primarily in the hands of the Army. He promoted the idea of self-determination and thus revolutionized international diplomacy.;;;;;;;;;X
NPERSONALITY_HITLER;偏執的誇大妄想家;Paranoid megalomaniac;;;;;;;;;X
DPERSONALITY_HITLER;「アドルフ・ヒトラー」（1889年4月20日 - 1945年4月30日）は、オーストリア出身のドイツ政治家で、ナチスとして知られる国家社会主義ドイツ労働者党の指導者でした。1933年に首相、1934年以降は国家元首（指導者兼首相＝総統）に就任し、ドイツの独裁者として君臨しました。;Adolf Hitler was an Austrian-born German politician and the leader of the National Socialist German Workers Party, commonly known as the Nazi Party. He Became absolute dictator of Germany in 1934, with the title of chancellor from 1933 and with the title head of state (Fuhrer und Reichskanzler) from 1934 onwards.;;;;;;;;;X
NPERSONALITY_STALIN;偏執的誇大妄想家;Paranoid megalomaniac;;;;;;;;;X
DPERSONALITY_STALIN;「ヨシフ・ヴィッサリオノヴィチ・スターリン」（1878年12月18日 - 1953年3月5日）は、1922年にソビエト連邦共産党中央委員会・初代書記長に就任しました。1924年に死去したレーニンの後任として、ソビエト連邦の最高指導者に就任しました。;Joseph Vissarionovich Stalin was the first General Secretary of the Communist Party of the Soviet Union's Central Committee in 1922. In the years following Lenin's death in 1924, he rose to become the leader of the Soviet Union.;;;;;;;;;X
NPERSONALITY_CHURCHILL;頑固な人物;Bulldog;;;;;;;;;X
DPERSONALITY_CHURCHILL;「サー・ウィンストン・レナード・スペンサー＝チャーチル」（1874年11月30日 - 1965年1月24日）は政治上重要な内閣のポストを多く歴任しました。彼は第一次アスキス自由党内閣の一員として海相（第一海軍卿）・商務相・内務相を歴任しました。有名な政治家で演説家でもあるチャーチルは、イギリス陸軍の将校・歴史家・作家・芸術家という顔も持っていました。;Sir Winston Leonard Spencer-Churchill held many political and cabinet positions. He served as President of the Board of Trade, Home Secretary and First Lord of the Admiralty as part of the Asquith Liberal government. A noted statesman and orator, Churchill was also an officer in the British Army, a historian, writer and artist.;;;;;;;;;X
NPERSONALITY_MUSSOLINI;帝国主義者な道化師;Imperialist buffoon;;;;;;;;;X
DPERSONALITY_MUSSOLINI;「ベニート・アミルカレ・アンドレア・ムッソリーニ」（1883年7月29日 - 1945年4月28日）は、国家ファシスタ党を指導したイタリアの政治家であり、ファシズム理論を創造した重要人物のひとりであることで知られています。彼は、1922年に第40代イタリア首相に就任し、1925年に統帥（ドゥーチェ）の称号を使用し始めました。;Benito Amilcare Andrea Mussolini was an Italian politician who led the National Fascist Party and is credited with being one of the key figures in the creation of Fascism. He became the 40th Prime Minister of Italy in 1922 and began using the title Duce by 1925.;;;;;;;;;X
NPERSONALITY_ROOSEVELT;民主主義の理想家;Democratic idealist;;;;;;;;;X
DPERSONALITY_ROOSEVELT;「フランクリン・デラノ・ルーズベルト（FDR）」（1882年1月30日 - 1945年4月12日）は、第32代合衆国大統領であり、20世紀中盤の世界的な事件での中心人物でした。世界恐慌と世界大戦の期間、合衆国を率いていました。FDRの楽観主義と経済における行動主義の組み合わせは、世界恐慌が政治的危機に発展しないように防いだことでしばしば称賛されました。;Franklin Delano Roosevelt was the 32nd President of the United States and a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic crisis and world war. FDR's combination of optimism and economic activism is often credited with keeping the country's economic crisis from developing into a political crisis.;;;;;;;;;X
NPERSONALITY_HIROHITO;傀儡天皇;Puppet emperor;;;;;;;;;X
DPERSONALITY_HIROHITO;「昭和天皇」（1901年4月29日 - 1989年1月7日）は伝統的秩序による第124代日本国天皇です。1926年2月25日に即位し、日本社会に対して大きな変革をもたらしました。;The Showa Emperor was the 124th emperor of Japan according to the traditional order. His reign began on December 25, 1926 and encompassed a period of tremendous change in Japanese society. ;;;;;;;;;X
NPERSONALITY_SPEER;天才的調整家;Genius organizer;;;;;;;;;X
DPERSONALITY_SPEER;「ベルトルト・コンラート・ヘルマン・アルベルト・シュペーア」（1905年3月19日 - 1981年9月1日）はドイツの建築家でヒトラーの側近の一人として知られています。シュペーアは総統官邸や党大会が行われたニュルンベルクのツェッペリンフェルト・スタジアムを含む多く建築物を建設しました。また、壮大なベルリン再開発計画を立案しました。それは、大規模な建築物群と広い街路および再構成された交通網を持っていました。;Albert Speer was a German architect a member of Hitler's inner circle. Speer construct a number of structures, including the Reich Chancellery and the Zeppelinfeld stadium in Nuremberg where Party rallies were held. He also made plans to reconstruct Berlin on a grand scale, with huge buildings, wide boulevards, and a reorganized transportation system.;;;;;;;;;X
NPERSONALITY_ZAPATA;革命家ゲリラ戦士;Revolutionary Guerilla Fighter;;;;;;;;;X
DPERSONALITY_ZAPATA;「エミリアーノ・サパタ」（1879年8月8日 - 1919年4月10日）はメキシコ革命の指導者の一人でメキシコの国民的な英雄のうちの一人です。彼は南部自由軍を率い、小作農民に対する農地改革と自由選挙を主な要求とし、「改革、自由、裁判、および憲法」をスローガンとして掲げました。軍事物資の補給に制限があったため、サパティタ軍全体の戦略はゲリラ戦に基づき成功を収めました。;Emiliano Zapata was one of the leading figures in the Mexican Revolution. He inspired, formed and led the Liberation Army of the South and his main demands and slogan was 'Reform, Freedom, Justice and Law!' which refered to the need for an agrarian reform in favor of the farmers and the need for free elections. Since military supplies were lacking then whole strategy of the Zapatistas was succesfully based on guerilla warfare.;;;;;;;;;X
NPERSONALITY_ZAPATA2;革命指導者;Revolutionary leader;;;;;;;;;X
